TBLID,GEOID,GEONAME,ORDER,TITLE,ESTIMATE,MG_ERROR
B02011,05000US25021,"Norfolk County, Massachusetts",1,Total:,"91,730","+/-1,045"
B02011,05000US25023,"Plymouth County, Massachusetts",1,Total:,"10,264",+/-373
B02011,05000US25025,"Suffolk County, Massachusetts",1,Total:,"80,260","+/-1,580"
B02011,05000US25027,"Worcester County, Massachusetts",1,Total:,"49,170",+/-918
B02011,05000US26005,"Allegan County, Michigan",1,Total:,"1,281",+/-172
B02011,05000US26017,"Bay County, Michigan",1,Total:,681,+/-667
B02011,05000US26021,"Berrien County, Michigan",1,Total:,"4,166",+/-372
B02011,05000US26025,"Calhoun County, Michigan",1,Total:,"4,571",+/-138
B02011,05000US26037,"Clinton County, Michigan",1,Total:,"1,676",+/-172
B02011,05000US26045,"Eaton County, Michigan",1,Total:,"3,225",+/-140
B02011,05000US26049,"Genesee County, Michigan",1,Total:,"6,230",+/-386
B02011,05000US26055,"Grand Traverse County, Michigan",1,Total:,"1,048",+/-172
B02011,05000US26065,"Ingham County, Michigan",1,Total:,"24,032",+/-441
B02011,05000US26073,"Isabella County, Michigan",1,Total:,"1,789",+/-173
B02011,05000US26075,"Jackson County, Michigan",1,Total:,"1,932",+/-40
B02011,05000US26077,"Kalamazoo County, Michigan",1,Total:,"9,116",+/-346
B02011,05000US26081,"Kent County, Michigan",1,Total:,"25,169",+/-362
B02011,05000US26087,"Lapeer County, Michigan",1,Total:,784,+/-93
B02011,05000US26091,"Lenawee County, Michigan",1,Total:,719,+/-172
B02011,05000US26093,"Livingston County, Michigan",1,Total:,"2,748",+/-197
B02011,05000US26099,"Macomb County, Michigan",1,Total:,"43,231",+/-634
B02011,05000US26103,"Marquette County, Michigan",1,Total:,859,+/-102
B02011,05000US26111,"Midland County, Michigan",1,Total:,"2,194",+/-416
B02011,05000US26115,"Monroe County, Michigan",1,Total:,"1,534",+/-149
B02011,05000US26121,"Muskegon County, Michigan",1,Total:,"1,932",+/-390
B02011,05000US26125,"Oakland County, Michigan",1,Total:,"111,661",+/-816
B02011,05000US26139,"Ottawa County, Michigan",1,Total:,"10,658",+/-606
B02011,05000US26145,"Saginaw County, Michigan",1,Total:,"3,487",+/-216
B02011,05000US26147,"St. Clair County, Michigan",1,Total:,"1,513",+/-172
B02011,05000US26155,"Shiawassee County, Michigan",1,Total:,614,+/-154
B02011,05000US26159,"Van Buren County, Michigan",1,Total:,368,+/-339
B02011,05000US26161,"Washtenaw County, Michigan",1,Total:,"40,621",+/-664
B02011,05000US26163,"Wayne County, Michigan",1,Total:,"73,166","+/-1,433"
B02011,05000US27003,"Anoka County, Minnesota",1,Total:,"19,904",+/-407
B02011,05000US27013,"Blue Earth County, Minnesota",1,Total:,"2,295",+/-309
B02011,05000US27019,"Carver County, Minnesota",1,Total:,"4,108",+/-113
B02011,05000US27037,"Dakota County, Minnesota",1,Total:,"25,700",+/-485
